trading_date,delivery_date,open,close
2017-01-06,2017-02-01,19.25,18.625
2017-01-09,2017-02-01,19.1,19.175
2017-01-10,2017-02-01,19.65,19.95
2017-01-11,2017-02-01,20.225,20.5
2017-01-12,2017-02-01,20.89,20.2
2017-01-13,2017-02-01,19.97,19.9
2017-01-16,2017-02-01,19.805,18.925
2017-01-17,2017-02-01,19.025,19.75
2017-01-18,2017-02-01,20.0,19.725
2017-01-19,2017-02-01,19.95,19.85
2017-01-20,2017-02-01,19.775,20.66
2017-01-23,2017-02-01,20.75,21.175
2017-01-24,2017-02-01,20.925,20.575
2017-01-25,2017-02-01,20.295,19.85
2017-01-26,2017-02-01,19.8,20.0
2017-01-27,2017-02-01,19.7,19.57
2017-01-30,2017-02-01,19.8,20.635
2017-01-31,2017-03-01,20.65,20.8
2017-02-01,2017-03-01,21.3,21.75
2017-02-02,2017-03-01,21.7,21.855
2017-02-03,2017-03-01,22.2,22.25
2017-02-06,2017-03-01,21.805,22.0
2017-02-07,2017-03-01,21.6,21.2
2017-02-08,2017-03-01,20.6,20.15
2017-02-09,2017-03-01,20.395,19.975
2017-02-10,2017-03-01,19.845,19.8
2017-02-13,2017-03-01,19.575,18.975
2017-02-14,2017-03-01,19.25,18.7
2017-02-15,2017-03-01,18.65,18.925
2017-02-16,2017-03-01,19.195,18.9
2017-02-17,2017-03-01,18.8,18.475
2017-02-20,2017-03-01,18.55,18.475
2017-02-21,2017-03-01,18.6,18.125
2017-02-22,2017-03-01,18.175,17.975
2017-02-23,2017-03-01,17.805,18.3
2017-02-24,2017-03-01,18.0,17.65
2017-02-27,2017-03-01,17.6,17.325
2017-02-28,2017-04-01,17.375,16.975
2017-03-01,2017-04-01,16.95,17.15
2017-03-02,2017-04-01,17.05,16.75
2017-03-03,2017-04-01,16.845,16.825
2017-03-06,2017-04-01,16.55,16.7
2017-03-07,2017-04-01,16.8,16.475
2017-03-08,2017-04-01,16.255,16.27
2017-03-09,2017-04-01,16.0,16.175
2017-03-10,2017-04-01,16.1,16.125
2017-03-13,2017-04-01,15.825,15.9
2017-03-14,2017-04-01,15.95,15.9
2017-03-15,2017-04-01,16.025,16.075
2017-03-16,2017-04-01,16.025,15.975
2017-03-17,2017-04-01,15.975,15.92
2017-03-20,2017-04-01,15.8,15.75
2017-03-21,2017-04-01,15.75,15.575
2017-03-22,2017-04-01,15.45,15.65
2017-03-23,2017-04-01,15.58,15.54
2017-03-24,2017-04-01,15.35,15.2
2017-03-27,2017-04-01,15.1,14.875
2017-03-28,2017-04-01,15.05,15.175
2017-03-29,2017-04-01,15.25,15.65
2017-03-30,2017-04-01,15.755,15.95
2017-03-31,2017-05-01,15.7,15.75
2017-04-03,2017-05-01,15.85,16.075
2017-04-04,2017-05-01,16.125,16.03
2017-04-05,2017-05-01,16.055,16.2
2017-04-06,2017-05-01,16.2,15.975
2017-04-07,2017-05-01,16.055,15.69
2017-04-10,2017-05-01,15.9,15.525
2017-04-11,2017-05-01,15.405,15.6
2017-04-12,2017-05-01,15.625,15.625
2017-04-13,2017-05-01,15.655,15.715
2017-04-18,2017-05-01,15.85,16.12
2017-04-19,2017-05-01,16.3,16.075
2017-04-20,2017-05-01,15.95,16.05
2017-04-21,2017-05-01,16.05,16.35
2017-04-24,2017-05-01,16.175,16.075
2017-04-25,2017-05-01,16.025,15.825
2017-04-26,2017-05-01,15.8,16.125
2017-04-27,2017-05-01,16.2,15.95
2017-04-28,2017-06-01,16.1,16.23
2017-05-02,2017-06-01,16.25,16.45
2017-05-03,2017-06-01,16.305,16.175
2017-05-04,2017-06-01,16.125,15.75
2017-05-05,2017-06-01,15.65,15.75
2017-05-08,2017-06-01,15.755,15.4
2017-05-09,2017-06-01,15.45,15.495
2017-05-10,2017-06-01,15.595,15.59
2017-05-11,2017-06-01,15.575,15.29
2017-05-12,2017-06-01,15.225,15.41
2017-05-15,2017-06-01,15.4,15.475
2017-05-16,2017-06-01,15.4,15.35
2017-05-17,2017-06-01,15.295,15.6
2017-05-18,2017-06-01,15.575,15.675
2017-05-19,2017-06-01,15.695,15.5
2017-05-22,2017-06-01,15.25,15.5
2017-05-23,2017-06-01,15.375,15.73
2017-05-24,2017-06-01,15.7,15.5
2017-05-25,2017-06-01,15.45,15.375
2017-05-26,2017-06-01,15.2,15.375
2017-05-29,2017-06-01,15.425,15.425
2017-05-30,2017-06-01,15.4,15.65
2017-05-31,2017-07-01,15.575,15.25
2017-06-01,2017-07-01,15.3,15.125
2017-06-02,2017-07-01,15.0,14.975
2017-06-05,2017-07-01,15.1,15.125
2017-06-06,2017-07-01,15.1,14.85
2017-06-07,2017-07-01,14.85,14.925
2017-06-08,2017-07-01,15.005,15.45
2017-06-09,2017-07-01,15.45,15.05
2017-06-12,2017-07-01,14.9,14.75
2017-06-13,2017-07-01,14.695,14.725
2017-06-14,2017-07-01,14.73,14.7
2017-06-15,2017-07-01,14.645,14.575
2017-06-16,2017-07-01,14.58,14.59
2017-06-19,2017-07-01,14.645,14.775
2017-06-20,2017-07-01,14.825,14.875
2017-06-21,2017-07-01,14.825,14.7
2017-06-22,2017-07-01,14.725,14.625
2017-06-23,2017-07-01,14.555,14.7
2017-06-26,2017-07-01,14.85,14.85
2017-06-27,2017-07-01,14.875,15.01
2017-06-28,2017-07-01,14.875,15.175
2017-06-29,2017-07-01,15.2,14.9
2017-06-30,2017-08-01,14.835,14.9
2017-07-03,2017-08-01,14.955,15.125
2017-07-04,2017-08-01,15.025,14.95
2017-07-05,2017-08-01,14.85,14.975
2017-07-06,2017-08-01,14.975,14.98
2017-07-07,2017-08-01,14.87,14.75
2017-07-10,2017-08-01,14.65,14.59
2017-07-11,2017-08-01,14.525,14.43
2017-07-12,2017-08-01,14.5,14.55
2017-07-13,2017-08-01,14.45,14.65
2017-07-14,2017-08-01,14.52,14.66
2017-07-17,2017-08-01,14.5,14.825
2017-07-18,2017-08-01,14.79,14.7
2017-07-19,2017-08-01,14.625,14.775
2017-07-20,2017-08-01,14.85,14.9
2017-07-21,2017-08-01,15.0,14.8
2017-07-24,2017-08-01,14.7,14.725
2017-07-25,2017-08-01,14.69,14.92
2017-07-26,2017-08-01,15.05,15.175
2017-07-27,2017-08-01,15.11,15.05
2017-07-28,2017-08-01,15.125,14.9
2017-07-31,2017-09-01,15.125,14.9
2017-08-01,2017-09-01,14.8,14.68
2017-08-02,2017-09-01,14.6,14.8
2017-08-03,2017-09-01,14.785,14.92
2017-08-04,2017-09-01,14.925,15.045
2017-08-07,2017-09-01,15.2,15.275
2017-08-08,2017-09-01,15.2,15.25
2017-08-09,2017-09-01,15.35,15.6
2017-08-10,2017-09-01,15.575,15.775
2017-08-11,2017-09-01,15.65,16.0
2017-08-14,2017-09-01,15.84,15.675
2017-08-15,2017-09-01,15.7,15.7
2017-08-16,2017-09-01,15.7,16.1
2017-08-17,2017-09-01,16.275,16.1
2017-08-18,2017-09-01,16.2,16.225
2017-08-21,2017-09-01,16.4,16.1
2017-08-22,2017-09-01,16.085,16.24
2017-08-23,2017-09-01,16.075,16.425
2017-08-24,2017-09-01,16.425,16.33
2017-08-25,2017-09-01,16.26,16.3
2017-08-28,2017-09-01,16.5,16.3
2017-08-29,2017-09-01,16.35,16.475
2017-08-30,2017-09-01,16.5,16.525
2017-08-31,2017-10-01,16.5,16.45
2017-09-01,2017-10-01,16.475,16.43
2017-09-04,2017-10-01,16.4,16.475
2017-09-05,2017-10-01,16.525,16.875
2017-09-06,2017-10-01,16.8,16.85
2017-09-07,2017-10-01,16.9,16.75
2017-09-08,2017-10-01,16.725,16.825
2017-09-11,2017-10-01,16.85,17.2
2017-09-12,2017-10-01,17.32,17.145
2017-09-13,2017-10-01,17.1,17.38
2017-09-14,2017-10-01,17.405,17.48
2017-09-15,2017-10-01,17.475,17.25
2017-09-18,2017-10-01,17.3,17.125
2017-09-19,2017-10-01,17.06,17.125
2017-09-20,2017-10-01,17.075,16.89
2017-09-21,2017-10-01,16.855,16.74
2017-09-22,2017-10-01,16.675,16.65
2017-09-25,2017-10-01,16.845,17.425
2017-09-26,2017-10-01,17.55,17.325
2017-09-27,2017-10-01,17.225,17.425
2017-09-28,2017-10-01,17.375,17.505
2017-09-29,2017-11-01,17.8,17.45
2017-10-02,2017-11-01,17.55,17.675
2017-10-03,2017-11-01,17.5,17.875
2017-10-04,2017-11-01,17.8,17.9
2017-10-05,2017-11-01,18.075,18.1
2017-10-06,2017-11-01,18.025,18.15
2017-10-09,2017-11-01,18.1,18.18
2017-10-10,2017-11-01,18.05,18.075
2017-10-11,2017-11-01,18.05,18.025
2017-10-12,2017-11-01,17.9,17.925
2017-10-13,2017-11-01,17.975,17.975
2017-10-16,2017-11-01,18.0,18.08
2017-10-17,2017-11-01,18.1,18.125
2017-10-18,2017-11-01,18.075,18.375
2017-10-19,2017-11-01,18.3,18.08
2017-10-20,2017-11-01,18.19,17.82
2017-10-23,2017-11-01,18.0,17.68
2017-10-24,2017-11-01,17.8,17.6
2017-10-25,2017-11-01,17.75,17.75
2017-10-26,2017-11-01,17.65,17.625
2017-10-27,2017-11-01,17.63,17.69
2017-10-30,2017-11-01,17.845,17.675
2017-10-31,2017-12-01,18.075,18.225
2017-11-01,2017-12-01,18.285,18.5
2017-11-02,2017-12-01,18.45,18.44
2017-11-03,2017-12-01,18.375,18.295
2017-11-06,2017-12-01,18.525,18.925
2017-11-07,2017-12-01,18.925,19.25
2017-11-08,2017-12-01,19.345,19.335
2017-11-09,2017-12-01,19.4,19.45
2017-11-10,2017-12-01,19.25,19.75
2017-11-13,2017-12-01,19.825,19.7
2017-11-14,2017-12-01,19.4,19.13
2017-11-15,2017-12-01,18.775,19.095
2017-11-16,2017-12-01,18.95,19.025
2017-11-17,2017-12-01,18.775,18.95
2017-11-20,2017-12-01,19.2,19.4
2017-11-21,2017-12-01,19.55,19.65
2017-11-22,2017-12-01,19.725,19.55
2017-11-23,2017-12-01,19.7,20.05
2017-11-24,2017-12-01,20.025,20.37
2017-11-27,2017-12-01,20.6,20.62
2017-11-28,2017-12-01,20.4,20.2
2017-11-29,2017-12-01,20.0,20.35
2017-11-30,2018-01-01,20.25,20.28
2017-12-01,2018-01-01,20.5,20.675
2017-12-04,2018-01-01,21.15,21.475
2017-12-05,2018-01-01,21.5,21.345
2017-12-06,2018-01-01,21.2,21.25
2017-12-07,2018-01-01,21.075,21.24
2017-12-08,2018-01-01,21.025,20.8
2017-12-11,2018-01-01,21.15,21.275
2017-12-12,2018-01-01,21.45,21.575
2017-12-13,2018-01-01,22.0,20.8
